issf_core_id,attribute__attribute_label,value,attribute_value__value_label,country,region
3629,Main gear type(s):,,Hooks and lines,Malawi,Africa
2436,Main gear type(s):,,Hooks and lines,Colombia,Latin America and the Caribbean
3628,Main gear type(s):,,Hooks and lines,Madagascar,Africa
2436,Main gear type(s):,,Hooks and lines,Colombia,Latin America and the Caribbean
2544,Main gear type(s):,,Hooks and lines,Canada,North America and Canada
3275,Main gear type(s):,,Hooks and lines,Canada,North America and Canada
3562,Main gear type(s):,,Hooks and lines,Madagascar,Africa
3570,Main gear type(s):,,Hooks and lines,Malawi,Africa
3563,Main gear type(s):,,Hooks and lines,Nigeria,Africa
2541,Main gear type(s):,,Hooks and lines,Indonesia,Asia and Oceania
3567,Main gear type(s):,,Hooks and lines,Nigeria,Africa
2289,Main gear type(s):,,Hooks and lines,Ecuador,Latin America and the Caribbean
3567,Main gear type(s):,,Lift nets,Nigeria,Africa
3629,Main gear type(s):,,Lift nets,Malawi,Africa
3634,Main gear type(s):,,Lift nets,Nigeria,Africa
2995,Main gear type(s):,,Lift nets,Turkey,Europe
3640,Main gear type(s):,,Lift nets,Zimbabwe,Africa
3201,Main gear type(s):,,Lift nets,Cambodia,Asia and Oceania
3787,Main gear type(s):,,Lift nets,Iran,Asia and Oceania
2415,Main gear type(s):,,Lift nets,Dem. Rep. Korea,Asia and Oceania
3701,Main gear type(s):,,Lift nets,Philippines,Asia and Oceania
2542,Main gear type(s):,,Lift nets,Indonesia,Asia and Oceania
3660,Main gear type(s):,,Lift nets,Philippines,Asia and Oceania
2343,Main gear type(s):,,Lift nets,Tanzania,Africa
3573,Main gear type(s):,,Lift nets,Tanzania,Africa
3653,Main gear type(s):,,Lift nets,Philippines,Asia and Oceania
3631,Main gear type(s):,,Lift nets,Zimbabwe,Africa
3635,Main gear type(s):,,Lift nets,Nigeria,Africa
3664,Main gear type(s):,,Lift nets,Philippines,Asia and Oceania
3559,Main gear type(s):,,Lift nets,Nigeria,Africa
2513,Main gear type(s):,,Lift nets,Tanzania,Africa
2541,Main gear type(s):,,Lift nets,Indonesia,Asia and Oceania
3563,Main gear type(s):,,Lift nets,Nigeria,Africa
2514,Main gear type(s):,,Lift nets,Tanzania,Africa
3707,Main gear type(s):,,Lift nets,Bangladesh,Asia and Oceania
3561,Main gear type(s):,,Lift nets,Nigeria,Africa
3642,Main gear type(s):,,Poisons and explosives,Kenya,Africa
3644,Main gear type(s):,,Poisons and explosives,Nigeria,Africa
2240,Main gear type(s):,,Poisons and explosives,Ghana,Africa
3497,Main gear type(s):,,Poisons and explosives,Indonesia,Asia and Oceania
2514,Main gear type(s):,,Poisons and explosives,Tanzania,Africa
